recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,JaroSimilarity,50,10,0.008466173711226675,0.001203960908730817,0.02066164191760198,0.038096551856320444,0.02545086009772144,0.030028798929297343,0.08207469028966846,0.06153528549086348
Dominance,JaroSimilarity,50,0,0.0025909670191203585,0.0014490452769741285,0.005658354997095591,0.022151208061681076,0.009592234757099716,0.01561305433007083,0.032894858670468145,0.025707408642354213
Dominance,JaroSimilarity,5,2,0.001222460446057855,9.868757714397334E-4,0.002049523704716208,0.006412610630339239,0.012610454055527602,0.015429463526273475,0.011018203457365814,0.04285797695896951
Dominance,JaroSimilarity,5,5,0.003718564696603528,0.00641934199724938,0.003921766874139868,0.01384095179463407,0.0320305104947215,0.02808097528751851,0.03601782589795842,0.08114856420718626
Dominance,JaroSimilarity,5,7,0.010609574752582774,0.007438086903524849,0.005264653524720055,0.025874843610763802,0.03746958550757874,0.035327417767809996,0.05815192621920828,0.09176205176844661
Dominance,JaroSimilarity,5,10,0.013346955292599307,0.013791910144798471,0.006757579544162637,0.030504835241302777,0.04274852357180607,0.05681741240895329,0.09397503947800546,0.17509089341969913
Dominance,JaroSimilarity,5,0,0.004669698807275136,0.0025285587670963363,0.005517462005424572,0.012608271156314226,0.019095263996536944,0.030496221146244118,0.01905949030185528,0.06587506994869559
Dominance,JaroSimilarity,60,2,0.006888334608644139,1.2352024735925662E-4,2.9301950346513235E-5,0.0046747344333062536,0.004656141812918857,0.007936500257662106,0.010143626060277662,0.02122755822423552
Dominance,JaroSimilarity,60,5,0.008242665317305557,5.849765571774267E-4,7.018441321831444E-4,0.014158010456310093,0.016689666673033378,0.012601939707698054,0.0300167913659811,0.028965703761203034
Dominance,JaroSimilarity,60,7,0.00895147324741477,0.0012853104784994406,7.83579371343449E-4,0.02268473371121271,0.025911963190638793,0.027306628854378335,0.05390284955870326,0.030893703368085862
Dominance,JaroSimilarity,60,10,0.009614352035293558,0.0017949860332689125,0.0019325359000758185,0.028967590318109786,0.03470039570231323,0.040962205978851834,0.10815125164680808,0.037279043420714704
Dominance,JaroSimilarity,60,0,0.008061043355223056,0.0016519299674872402,0.002353198510515642,0.01242989629607404,0.013418369773858919,0.020212034570094236,0.04271271656368572,0.029822333412804616
Dominance,JaroSimilarity,8,2,0.0021281307122566935,3.3754192236335097E-4,0.006335698656957548,0.009387058378195215,0.006045003689218595,0.025130613676482637,0.01836281643117563,0.03811230460908042
Dominance,JaroSimilarity,8,5,0.0027994015945425653,0.0021898339755482615,0.014217472294000237,0.013463731000525675,0.03423245011225996,0.03166529647222992,0.05707261594433382,0.10401815776377875
Dominance,JaroSimilarity,8,7,0.005332431597342887,0.010685880936601335,0.01880234248818154,0.016405800624170252,0.04809422548167622,0.054412175460803965,0.08161000015151698,0.1196198427076566
Dominance,JaroSimilarity,8,10,0.007323500486972825,0.012409115461790344,0.026251210013931766,0.02670309323500535,0.06161471847024972,0.07724884756718416,0.09212507269194259,0.17958362057099064
Dominance,JaroSimilarity,8,0,0.003512872937172835,0.005653895493699531,0.014112037098787963,0.013978037152476929,0.013457527807104623,0.04927031265563727,0.04081910986772122,0.06582568904554847
Dominance,LCS-Ponderado,10,2,2.8188184133733313E-4,2.1809589144227554E-4,8.26790052903763E-4,0.0034136829343464035,0.009087632256864219,0.014863830631671956,0.013061813615514216,0.018181805673118646
Dominance,LCS-Ponderado,10,5,0.0016046644830176125,0.009744162644159114,0.011001083973483379,0.014377739377654228,0.020605191771672075,0.042120712183279695,0.050514190450549466,0.053404978466755945
Dominance,LCS-Ponderado,10,7,0.0019547318485671405,0.011784978970689725,0.011307679443928763,0.01598301553773726,0.025512040625529597,0.052171352579686095,0.06798329817837008,0.0671787866383447
Dominance,LCS-Ponderado,10,10,0.0026780962178941906,0.01704175979391876,0.013394458917046308,0.017681083347459083,0.034838626052378474,0.07553343257354642,0.0790281230408137,0.0935374165344797
Dominance,LCS-Ponderado,10,0,3.009738440640775E-4,0.00712154519865603,0.00339907473685863,0.00643722133680176,0.01845261567716502,0.047145039351784344,0.026355448819464597,0.028473032404911506
