recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10
Dominance,JaroSimilarity,25,7,0.0050483291983687804,5.529761202145301E-4,0.003926783046820962,0.003460603289828819,0.02112540056892187,0.007643685696940274,0.012844335755452987,0.013205595118846123
Dominance,JaroSimilarity,25,10,0.007956698169729878,7.95888865603225E-4,0.006787363275929522,0.008662614221805661,0.024505598963565862,0.010885134147045832,0.013720616880652006,0.017534235780388784
Dominance,JaroSimilarity,25,0,0.002651169366761486,5.071402457556909E-4,0.002070338451909702,0.0036091732981037017,0.009585817787884306,0.00108490984339821,0.006650471599649429,0.004691743022843469
Dominance,JaroSimilarity,30,2,0.0021335604797248203,2.1894141400373138E-5,1.315014684217361E-4,0.0013762299268585193,0.002979086322533882,0.003881572844663517,0.004129165432097531,0.002675969090202953
Dominance,JaroSimilarity,30,5,0.006470812954972345,0.0017538707480777732,0.003350720861875583,0.002901364830107367,0.02198126125891571,0.009281451362579136,0.008683277627576006,0.008164852491984755
Dominance,JaroSimilarity,30,7,0.00985931257870819,0.00515523129229546,0.00417799214546206,0.0030382011738402624,0.02295543438774123,0.013536209912852176,0.0181380609396617,0.013951311693753077
Dominance,JaroSimilarity,30,10,0.012659526956320855,0.005498776880587741,0.0070905963373294545,0.004633102629088836,0.02832819006609828,0.01741682023281834,0.02096820271513761,0.021594193103197108
Dominance,JaroSimilarity,30,0,0.006119920961208407,2.748595836678584E-4,0.0035127315772098097,0.0023182952541313333,0.008229447973223782,0.010235037018554764,0.011450010047621422,0.0051546706568558
Dominance,JaroSimilarity,40,2,0.0016170105946723544,0.0011546245292375322,0.0014808235799582817,0.0010079736537007998,0.005196314285470526,0.004580573361274209,0.008588622942474396,0.006527991678924211
Dominance,JaroSimilarity,40,5,0.0051523658863142415,0.0019197121811630278,0.0016914229975509287,0.0032039080535950604,0.02064942488149977,0.015501901788770886,0.012523888480875931,0.00975875625812644
Dominance,JaroSimilarity,40,7,0.0059557822794061716,0.0019503550689487729,0.0020778770977385075,0.004244904375172719,0.024549453659009964,0.018846011179783545,0.024658969477279764,0.01463912361248399
Dominance,JaroSimilarity,40,10,0.01093863070546754,0.002426330715993614,0.0035752634510636734,0.004629097313429706,0.027058362239936504,0.023271029070646508,0.03343328063195571,0.019611822100156866
Dominance,JaroSimilarity,40,0,0.0059223591983492046,0.0015658504923344058,0.0023946440657091213,0.0028963983123130714,0.013907450641768711,0.0060350636916803955,0.017788558363018004,0.011725332922035583
Dominance,JaroSimilarity,50,2,0.001353320559350398,8.156739914191096E-6,9.832517264418469E-4,9.036368544279341E-4,0.0016109005630250439,2.444696695772605E-5,0.004956552328008856,0.0038919464317031176
