recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,60,0,"0,008061043355223","0,001651929967487","0,002353198510516","0,012429896296074","0,013418369773859","0,020212034570094","0,042712716563686","0,029822333412805","0,130661522449743"
Dominance,JaroSimilarity,8,2,"0,002128130712257","3,38E-04","0,006335698656958","0,009387058378195","0,006045003689219","0,025130613676483","0,018362816431176","0,03811230460908","0,10583916807573"
Dominance,JaroSimilarity,8,5,"0,002799401594543","0,002189833975548","0,014217472294","0,013463731000526","0,03423245011226","0,03166529647223","0,057072615944334","0,104018157763779","0,259658959157219"
Dominance,JaroSimilarity,8,7,"0,005332431597343","0,010685880936601","0,018802342488182","0,01640580062417","0,048094225481676","0,054412175460804","0,081610000151517","0,119619842707657","0,35496269944795"
Dominance,JaroSimilarity,8,10,"0,007323500486973","0,01240911546179","0,026251210013932","0,026703093235005","0,06161471847025","0,077248847567184","0,092125072691943","0,179583620570991","0,483259178498068"
Dominance,JaroSimilarity,8,0,"0,003512872937173","0,0056538954937","0,014112037098788","0,013978037152477","0,013457527807105","0,049270312655637","0,040819109867721","0,065825689045549","0,206629482058149"
Dominance,LCS-Ponderado,10,2,"2,82E-04","2,18E-04","8,27E-04","0,003413682934346","0,009087632256864","0,014863830631672","0,013061813615514","0,018181805673119","0,059935532897199"
Dominance,LCS-Ponderado,10,5,"0,001604664483018","0,009744162644159","0,011001083973483","0,014377739377654","0,020605191771672","0,04212071218328","0,05051419045055","0,053404978466756","0,203372723350571"
Dominance,LCS-Ponderado,10,7,"0,001954731848567","0,01178497897069","0,011307679443929","0,015983015537737","0,02551204062553","0,052171352579686","0,06798329817837","0,067178786638345","0,253875883822853"
Dominance,LCS-Ponderado,10,10,"0,002678096217894","0,017041759793919","0,013394458917046","0,017681083347459","0,034838626052379","0,075533432573546","0,079028123040814","0,09353741653448","0,333732996477537"
Dominance,LCS-Ponderado,10,0,"3,01E-04","0,007121545198656","0,003399074736859","0,006437221336802","0,018452615677165","0,047145039351784","0,026355448819465","0,028473032404912","0,137684951369706"
Dominance,LCS-Ponderado,15,2,"5,46E-05","2,95E-04","0,002555168846158","0,001555430672868","0,00852495900597","0,002096908159839","0,002786842844798","0,020314757035228","0,038183608731565"
Dominance,LCS-Ponderado,15,5,"0,001626024831749","0,00491848901812","0,008281136435705","0,008597237275526","0,013231655816956","0,014886201022055","0,046378842476951","0,083120206746568","0,18103979362363"
Dominance,LCS-Ponderado,15,7,"0,001895300102461","0,009951142146049","0,009045647841543","0,00982766902874","0,018144337442179","0,015938149603436","0,056290460098793","0,086717213694283","0,207809919957484"
Dominance,LCS-Ponderado,15,10,"0,002246991220149","0,017743091522448","0,010281301759436","0,011306008147449","0,02109456733228","0,036353522999575","0,086027439254119","0,104259022197647","0,289311944433103"
Dominance,LCS-Ponderado,15,0,"9,61E-04","0,006583646118023","0,0069808516447","0,004320340027905","0,013697882756664","0,024965650841802","0,030224967569255","0,027256194600839","0,11499026142389"
Dominance,LCS-Ponderado,20,2,"0,001393815180077","2,95E-04","0,001485799346098","6,99E-04","0,009880720189621","0,002881915504433","0,015114141225899","0,008635641706815","0,040386326495405"
Dominance,LCS-Ponderado,20,5,"0,00146822379518","0,004805100326159","0,006273560828545","0,00578477373747","0,02226205150661","0,044230572521459","0,046874231884562","0,031835060135619","0,163533574735604"
Dominance,LCS-Ponderado,20,7,"0,001570523115852","0,01392766415166","0,022634726954415","0,007881678840587","0,025507187643613","0,057464548422354","0,053511343573772","0,040981877682542","0,223479550384794"
Dominance,LCS-Ponderado,20,10,"0,002125005119324","0,015377906054763","0,0250063695504","0,012032575573411","0,02872294959056","0,066796547181083","0,073150197975752","0,062248671676972","0,285460222722264"
Dominance,LCS-Ponderado,20,0,"0,001846090864789","0,003889159054412","0,004153633401722","0,008673509539953","0,018807417796225","0,020583457368396","0,037225016552138","0,024308021477052","0,119486306054688"
Dominance,LCS-Ponderado,25,2,"0,001367223109349","3,25E-04","0,001482373974836","4,78E-04","0,00782293298471","0,001895464480134","0,008461187817667","0,013324681237781","0,035156469507"
Dominance,LCS-Ponderado,25,5,"0,002347752008449","0,004800124646173","0,001765507375681","0,014340895617455","0,024668721812066","0,034248156251561","0,036347194014543","0,065314345940802","0,18383269766673"
Dominance,LCS-Ponderado,25,7,"0,002547519302259","0,007671521992722","0,014896987148598","0,016448178098085","0,045694453003977","0,055468721286873","0,043633498257349","0,089687123150984","0,276048002240846"
Dominance,LCS-Ponderado,25,10,"0,003031729640971","0,009787654428878","0,018783857658794","0,031849262891001","0,047605088174555","0,06132060194853","0,07602054320256","0,107305531770907","0,355704269716196"
Dominance,LCS-Ponderado,25,0,"0,001686150049702","0,001918516987453","0,013118051365384","0,011937623745407","0,023341206071763","0,012742121508317","0,035248665316809","0,035036910144657","0,135029245189492"
Dominance,LCS-Ponderado,30,2,"0,001724365966492","2,77E-04","6,74E-04","0,003235850619276","0,009131103371054","7,12E-04","0,001680844744324","0,013677479712605","0,03111340264585"
Dominance,LCS-Ponderado,30,5,"0,009629690844523","0,004848618100159","0,00257510712707","0,013229911180372","0,032334497820632","0,029413162825765","0,0401335876023","0,044050447278592","0,176215022779413"
Dominance,LCS-Ponderado,30,7,"0,009938733871539","0,017322084768037","0,014341123364843","0,015110334139205","0,050724545019739","0,07508725619324","0,075056715699418","0,128384806796535","0,385965599852556"
Dominance,LCS-Ponderado,30,10,"0,015419018842473","0,018786976717148","0,018161532151966","0,018582495062409","0,05862704598267","0,083509307129234","0,134535491775495","0,147037289123644","0,494659156785039"
Dominance,LCS-Ponderado,30,0,"0,004931648824035","0,001544204093387","0,014070843069627","0,008730621012061","0,038267200341993","0,032920528941872","0,065986445003912","0,045884049327643","0,212335540614531"
Dominance,LCS-Ponderado,40,2,"0,001712129733783","1,55E-04","0,00224596490354","0,006828364053233","0,010635406305941","0,002741948988677","0,006751750500541","0,010459105051437","0,041529889002646"
Dominance,LCS-Ponderado,40,5,"0,004296875496495","0,003138609728432","0,003543279337027","0,007815371200545","0,045678616025688","0,016436069244658","0,02482052346009","0,031495774530733","0,137225119023667"
Dominance,LCS-Ponderado,40,7,"0,004370769556317","0,004557518315493","0,008889657716428","0,010492199094166","0,065986840433565","0,04575395510093","0,039667787726629","0,048666899973396","0,228385627916924"
Dominance,LCS-Ponderado,40,10,"0,005481881522705","0,00598796801973","0,011185457786973","0,017765861774861","0,080356511807072","0,047753958542294","0,085086356560227","0,076600260927301","0,330218256941162"
