recommender,similarity,neighbor_size,rec_size,N=3,N=4,N=5,N=6,N=7,N=8,N=9,N=10,Acumulado
Dominance,JaroSimilarity,20,2,0.00261047315181173,0.0000437882828007463,0.000638808233908612,0.00499362623170411,0.00454991805960342,0.00376115869831823,0.0137505133792382,0.00581016933828507,0.0361584553756701
Dominance,JaroSimilarity,20,5,0.00297564277404393,0.00106515203642628,0.00143103119462629,0.00610184804615842,0.0497228605248661,0.0284478076704094,0.0217792116109296,0.0351845930964569,0.146708146953917
Dominance,JaroSimilarity,20,7,0.00412913921865715,0.00117193893723311,0.0066348532775799,0.00900999474446106,0.0559501853768998,0.0363131718069156,0.0277260417838484,0.0410496937457718,0.181985018891367
Dominance,JaroSimilarity,20,10,0.0104345566067517,0.00190838529104837,0.0135689564435461,0.0267487846636434,0.0704172636416735,0.0454234349831418,0.0536843285208201,0.0581375090510409,0.280323219201666
Dominance,JaroSimilarity,20,0,0.00925133999711257,0.001087903923881,0.00294747324317373,0.0169014583492202,0.0255170260650682,0.0148863010475299,0.0189760652243693,0.0411811139253678,0.130748681775723
Dominance,JaroSimilarity,25,2,0.00263522562705926,0.0000437882828007463,0.000310724244407299,0.00307350334383929,0.00416729420568532,0.00390063499438893,0.0097384007187641,0.00897686030569777,0.0328464317226427
Dominance,JaroSimilarity,25,5,0.00310138104279294,0.00108373870606681,0.008833799030465,0.00681677039247536,0.0331924966842462,0.0150760737282503,0.020034106953826,0.0382449595039439,0.126383326042067
Dominance,JaroSimilarity,25,7,0.00835072487481394,0.00108373870606681,0.00988875018740064,0.00905239348713205,0.034910714598724,0.0160968005343475,0.0269733016548124,0.0493852606290983,0.155741684672396
Dominance,JaroSimilarity,25,10,0.0114401900902634,0.0014999880155471,0.0147502480113333,0.0264395179924509,0.0428270202547792,0.0233919103360335,0.0306790648285962,0.0663713807910576,0.217399320320061
Dominance,JaroSimilarity,25,0,0.00344317067385986,0.0011182924027893,0.00516366326639925,0.00880743181539813,0.0141601510894926,0.00368632687242101,0.0163256970593674,0.020141068202441,0.0728458013821686
Dominance,JaroSimilarity,30,2,0.00263522562705926,0.0000437882828007463,0.000310724244407299,0.00414428662637089,0.00886616587047924,0.00669319421298592,0.00645459675168072,0.0067851453047111,0.0359331269204952
Dominance,JaroSimilarity,30,5,0.00697247810230678,0.00468642258965654,0.00969148188656487,0.00736464190756904,0.0407838721260007,0.028073446671096,0.0261950414929114,0.0388815420836275,0.162648926859733
Dominance,JaroSimilarity,30,7,0.0130865985618997,0.0148905042223096,0.0109432834372013,0.00750147825130194,0.0438785428194499,0.0521070822895158,0.0629550759985716,0.0786951550944168,0.284057720674667
Dominance,JaroSimilarity,30,10,0.0159359081398715,0.0156086520605006,0.0159078902355288,0.0105462655016882,0.0636110089343032,0.0613213003549953,0.077908134757974,0.100058139535381,0.360897299520243
Dominance,JaroSimilarity,30,0,0.00924625802455335,0.000650939016619751,0.00994553795726271,0.00708824411715927,0.0173582953725095,0.0307387634014277,0.0483803090287507,0.0179423862093682,0.141350733127651
Dominance,JaroSimilarity,40,2,0.00198402118934471,0.0034638735877126,0.00423735170553959,0.00304235599085597,0.0199078300493767,0.0271505091128285,0.0302359329948128,0.029169093318608,0.119190967949079
Dominance,JaroSimilarity,40,5,0.00565497929738096,0.00518394688891231,0.00455276401215311,0.00790863804982098,0.0374413320379039,0.0826497454785276,0.0443168721554218,0.0501735919494365,0.237881869869557
Dominance,JaroSimilarity,40,7,0.00647939306580097,0.00527587555226954,0.00593603609214059,0.0125183953207936,0.0525320552345413,0.0928318438051435,0.0736576818416648,0.0650682397254475,0.314299520637802
Dominance,JaroSimilarity,40,10,0.0118406526884865,0.00581366205156675,0.00807228165147648,0.0142069529249499,0.0581314093064776,0.105812824340505,0.10863674480274,0.0793371048211045,0.391851632587307
Dominance,JaroSimilarity,40,0,0.00652046097095583,0.00455016598006991,0.00494892572842459,0.00739986014844309,0.0295752368318496,0.0326063702056101,0.0638562120383697,0.0473719018906925,0.196829133794415
