method,neighbor_size,rec_size,Temporal-5-1-2,Temporal-5-2-3,Temporal-5-3-4,Temporal-5-4-5,accum
Dominance_LCS-Puro,20,7,0.0017552979173838716,0.0010937023505187638,7.274282031353259E-4,0.0033367875524987762,0.0069132160235367375
Dominance_LCS-Puro,20,10,0.002090913351335246,0.0012463017336898235,8.428649389060244E-4,0.0035639668875291513,0.007744046911460245
Dominance_LCS-Puro,20,SizeOfTestSet,0.051446061073867365,0.01140715958122648,0.010340163977741035,0.014154710643262377,0.08734809527609726
Dominance_LCS-Puro,25,2,0.0011196153614687438,4.3379038262377395E-4,3.7872582594794773E-4,0.0018006026191493521,0.0037327341891898176
Dominance_LCS-Puro,25,5,0.0015943769929946136,8.62122326166585E-4,6.186012990150088E-4,0.0031471370422541715,0.006222237660430379
Dominance_LCS-Puro,25,7,0.0021055456284815553,0.0010370614439853948,7.381185282145622E-4,0.00336799027295524,0.0072487158736367525
Dominance_LCS-Puro,25,10,0.002384944326509583,0.001207705556833684,8.533692698565638E-4,0.0034489278441588575,0.007894946997358689
Dominance_LCS-Puro,25,SizeOfTestSet,0.04812597449684214,0.012293873562786904,0.009816479344214864,0.013085434567907533,0.08332176197175144
Dominance_LCS-Puro,30,2,0.001422408550113353,5.608395413414685E-4,3.2383956351229447E-4,0.0018555851181980766,0.0041626727731651925
Dominance_LCS-Puro,30,5,0.002008538236885932,8.63063773750089E-4,6.494204595823608E-4,0.0028342424187282164,0.006355264888946598
Dominance_LCS-Puro,30,7,0.0022887997168819316,0.0012199816681642058,7.993269428877275E-4,0.0033776753620822835,0.007685783690016148
Dominance_LCS-Puro,30,10,0.0025675793353263305,0.0014870095524914236,9.424888946032246E-4,0.003583352071898454,0.008580429854319432
Dominance_LCS-Puro,30,SizeOfTestSet,0.047844252543852404,0.012719755694126202,0.010471006316057622,0.012923426479320528,0.08395844103335676
Dominance_LCS-Puro,40,2,0.0018629015900531892,4.277584781579239E-4,3.746950038178802E-4,0.0019064422209264674,0.00457179729295546
Dominance_LCS-Puro,40,5,0.0025771481816177196,7.826337344406386E-4,5.908330097781965E-4,0.0032272571520380496,0.007177872077874604
Dominance_LCS-Puro,40,7,0.0029307046874964674,8.977214211628744E-4,6.765508567798886E-4,0.0033899891495669837,0.007894966115006214
Dominance_LCS-Puro,40,10,0.0035221462042360676,0.0014363878229613177,8.825103500786262E-4,0.0035737058100835835,0.009414750187359596
Dominance_LCS-Puro,40,SizeOfTestSet,0.04919404498838914,0.011396764535291596,0.008758536236899041,0.011674150144301957,0.08102349590488173
Dominance_LCS-Puro,50,2,0.001880624267336196,4.242365885455688E-4,4.55184707731925E-4,0.0020788717668836633,0.004838917330497353
Dominance_LCS-Puro,50,5,0.0025603055400275666,7.636640939673279E-4,6.785559308179589E-4,0.0032270339769357426,0.007229559541748596
Dominance_LCS-Puro,50,7,0.0030854897366902317,8.315132183647901E-4,8.42363302509171E-4,0.003386292631253719,0.008145658888817912
Dominance_LCS-Puro,50,10,0.003933399109597558,0.0010117362488731494,9.916192675461317E-4,0.003563115724048426,0.009499870350065266
Dominance_LCS-Puro,50,SizeOfTestSet,0.04604660207978629,0.01378057777337885,0.00931408003526885,0.01116639410260923,0.08030765399104323
Dominance_LCS-Puro,5,2,0.0016097466533008383,6.004668366402489E-4,3.63812999711313E-4,0.0017426292060682854,0.004316655695720686
Dominance_LCS-Puro,5,5,0.002710947174135987,0.0015531238325175456,7.944088293643771E-4,0.0020868316399565126,0.007145311475974423
Dominance_LCS-Puro,5,7,0.0028633562801702287,0.0019520542967001633,0.001383969272992304,0.002307126228818984,0.00850650607868168
Dominance_LCS-Puro,5,10,0.003367639069098046,0.0021793378532723277,0.0015629039326245755,0.002875644189884596,0.009985525044879545
Dominance_LCS-Puro,5,SizeOfTestSet,0.05401306512947773,0.020409011556754963,0.013255336150386349,0.01706777867435286,0.1047451915109719
Dominance_LCS-Puro,60,2,0.0018472964886326467,3.4329727580452505E-4,4.359861632694174E-4,0.0020667530227143995,0.004693332950420988
Dominance_LCS-Puro,60,5,0.002653742933260143,6.894394446579037E-4,5.192683476429313E-4,0.0030412204121107785,0.006903671137671756
Dominance_LCS-Puro,60,7,0.003264846801886394,9.535299749899397E-4,6.40754651505971E-4,0.0034947733196516026,0.008353904748033908
Dominance_LCS-Puro,60,10,0.003940240840946968,0.0010871788016791812,8.316661086447345E-4,0.0035963034879362946,0.009455389239207178
Dominance_LCS-Puro,60,SizeOfTestSet,0.04842613390617263,0.012869909307349717,0.009652689093526122,0.010492377553046923,0.0814411098600954
Dominance_LCS-Puro,8,2,0.0014861097247626106,5.748340933908011E-4,4.9840549482134E-4,0.001820042462926534,0.004379391775901286
Dominance_LCS-Puro,8,5,0.002571323443785237,9.667021844365003E-4,7.494192977688931E-4,0.002910680431136307,0.007198125357126937
Dominance_LCS-Puro,8,7,0.002948800711485671,0.0012018958739565251,8.932632427895635E-4,0.003155992438311603,0.008199952266543364
Dominance_LCS-Puro,8,10,0.0033617303500688995,0.0015261619118079766,0.0012194333997937168,0.003412607969012238,0.00951993363068283
Dominance_LCS-Puro,8,SizeOfTestSet,0.05352898146450338,0.01922304429048473,0.01191176323266436,0.01659460399862089,0.10125839298627337
Dominance_LCS-R,10,2,0.0012345760776390996,0.0010456013487765336,3.165927972222813E-4,7.441124988676324E-4,0.003340882722505547
Dominance_LCS-R,10,5,0.0024557890995113483,0.0018843194213533174,0.0011057965165099212,0.0017587078204744915,0.007204612857849078
Dominance_LCS-R,10,7,0.0029590777421428355,0.002739913086420203,0.0017558894848841316,0.002818213447652229,0.0102730937610994
Dominance_LCS-R,10,10,0.0037398798968852963,0.003340295408486701,0.0029529547077745823,0.0036600261210776555,0.013693156134224236
Dominance_LCS-R,10,SizeOfTestSet,0.07160738963627145,0.03907372332657373,0.033167302494986554,0.029547966049687357,0.17339638150751907
Dominance_LCS-R,15,2,0.00116729655257972,6.962881074062822E-4,3.1151016963650306E-4,8.199014468295062E-4,0.0029949962764520112
Dominance_LCS-R,15,5,0.002705689531895797,0.0012742157504421073,0.0010946898426720695,0.0015909378226912057,0.00666553294770118
Dominance_LCS-R,15,7,0.0031968539481758013,0.0016372418410104926,0.0015063359199344842,0.0022035596890684467,0.008543991398189225
Dominance_LCS-R,15,10,0.003915305021022224,0.0023911673063312373,0.002173403624615545,0.003258399894208797,0.0117382758461778
Dominance_LCS-R,15,SizeOfTestSet,0.07637993608326002,0.03461556539866203,0.029659565200432225,0.03184052114756681,0.17249558782992108
Dominance_LCS-R,20,2,7.113433739786722E-4,5.720745248928728E-4,3.414642111813876E-4,4.8439509447966046E-4,0.002109277204532593
Dominance_LCS-R,20,5,0.0018257447257445717,0.0014228558423922185,8.280478906740487E-4,0.0012478325638430598,0.0053244810226538986
Dominance_LCS-R,20,7,0.0022795044581702347,0.002119629930389883,0.0016617019825887081,0.0018958483466962525,0.007956684717845077
Dominance_LCS-R,20,10,0.0031277575687245684,0.0024918257714760857,0.0023981592419742613,0.002888050521057398,0.010905793103232314
Dominance_LCS-R,20,SizeOfTestSet,0.06455088066762153,0.03163668381954537,0.025480984696630907,0.032996881111581985,0.15466543029537977
Dominance_LCS-R,25,2,7.224068980555077E-4,6.813539625713138E-4,2.7979614262886316E-4,5.779882327785811E-4,0.002261545236034266
Dominance_LCS-R,25,5,0.0020435288302348225,0.0013671423701694559,8.951332326007212E-4,0.0013128449350310425,0.0056186493680360425
Dominance_LCS-R,25,7,0.0025698136158390007,0.0018129958798860078,0.0014417348576953055,0.002023520661873295,0.007848065015293608
Dominance_LCS-R,25,10,0.0031421208577362713,0.0022390800173858055,0.0018960092732008722,0.0027672343240038536,0.010044444472326802
Dominance_LCS-R,25,SizeOfTestSet,0.06030757169715217,0.02724122436050382,0.023791203265741995,0.03270866084487027,0.14404866016826826
Dominance_LCS-R,30,2,8.421548062941952E-4,5.195138060401511E-4,2.63038956646832E-4,5.501717842763479E-4,0.0021748793532575263
Dominance_LCS-R,30,5,0.0019175474446654422,0.0011215327008680521,8.036730785499299E-4,0.0012959512068232246,0.005138704430906649
Dominance_LCS-R,30,7,0.0021965530655111863,0.00127625485263657,0.0012877249766836576,0.0019229532047878193,0.006683486099619233
Dominance_LCS-R,30,10,0.002441048074919463,0.0018617496436780586,0.001834429974423442,0.0026092345730685603,0.008746462266089524
Dominance_LCS-R,30,SizeOfTestSet,0.063324110091634,0.023727297700624764,0.024206320652377763,0.032578848712476904,0.14383657715711343
Dominance_LCS-R,40,2,0.0012517245737818667,7.087817250255079E-4,1.9949381236578296E-4,2.335031584370825E-4,0.00239350326961024
Dominance_LCS-R,40,5,0.001801734740494652,0.0013891117134983008,7.12362883718189E-4,7.329359423267903E-4,0.0046361452800379324
Dominance_LCS-R,40,7,0.002359003433042795,0.0017013311379000188,0.001100815458144038,0.0012217351144022592,0.006382885143489111
Dominance_LCS-R,40,10,0.002622085594753654,0.0021590492370947008,0.0015086451589602378,0.001799641332856985,0.008089421323665578
Dominance_LCS-R,40,SizeOfTestSet,0.05764658464245304,0.02228567244720257,0.019165681986198252,0.02668416664600499,0.12578210572185886
Dominance_LCS-R,50,2,0.0012631756996095865,3.860359689385168E-4,4.193640344471338E-4,3.674324199529172E-4,0.002436008122948154
Dominance_LCS-R,50,5,0.0016651465962363526,9.151362218076097E-4,0.0012476526235243352,9.090900116209642E-4,0.004737025453189261
Dominance_LCS-R,50,7,0.0024733585748247474,0.0012334535500790815,0.00183136732353253,0.001326759099888415,0.006864938548324774
Dominance_LCS-R,50,10,0.0029511138410672367,0.0016545025743490774,0.002490850981869227,0.0018796394346502568,0.008976106831935799
Dominance_LCS-R,50,SizeOfTestSet,0.04856079670774715,0.020678544123597403,0.02119917092457371,0.025386192131860438,0.11582470388777871
Dominance_LCS-R,5,2,6.454740110189059E-4,0.0010107646460774473,4.98395850335405E-4,6.742717402799173E-4,0.0028289062477116753
Dominance_LCS-R,5,5,0.0019629885297748856,0.002282394530807843,0.0012190651366968026,0.0014628286932374284,0.006927276890516959
Dominance_LCS-R,5,7,0.002432108449485743,0.0032185486620493987,0.0019696004174759143,0.0019905078375768207,0.009610765366587877
Dominance_LCS-R,5,10,0.003532635740852654,0.004249864901703343,0.0028089410139967913,0.0026615467205506316,0.01325298837710342
Dominance_LCS-R,5,SizeOfTestSet,0.06881686402974964,0.045032047567238796,0.028275645775070246,0.02040389959899699,0.16252845697105567
Dominance_LCS-R,60,2,0.001376408042534978,4.884648666104281E-4,1.8941154937693314E-4,4.3412829849785435E-4,0.0024884127570201937
Dominance_LCS-R,60,5,0.002115174398097577,8.875962089359311E-4,7.883579434548616E-4,9.822350836267647E-4,0.004773363634115135
Dominance_LCS-R,60,7,0.002562108743636798,0.0011239534981160929,0.0010839384004878198,0.0014900315828011742,0.006260032225041885
Dominance_LCS-R,60,10,0.0031504360945906864,0.0016928523579377284,0.0015676797476967205,0.0019062390362811785,0.008317207236506315
Dominance_LCS-R,60,SizeOfTestSet,0.04899985060165899,0.020920900018770946,0.018340119935538062,0.024750763839748096,0.1130116343957161
Dominance_LCS-R,8,2,0.001411577644759587,5.953168681375811E-4,4.5931471665289713E-4,0.001007074420693487,0.0034732836502435523
Dominance_LCS-R,8,5,0.002369864172656975,0.0018323693330249086,0.0013852768802166966,0.0021960114042432425,0.0077835217901418225
Dominance_LCS-R,8,7,0.002876739641391435,0.0027459764974394224,0.001977168792130675,0.0028586922932275355,0.010458577224189067
Dominance_LCS-R,8,10,0.0037836916429128753,0.0036589076837530306,0.0025474741411276626,0.0034780343420711293,0.013468107809864698
Dominance_LCS-R,8,SizeOfTestSet,0.07499470803630015,0.042274887727737326,0.031683225988507514,0.028549418813857707,0.17750224056640268
Dominance_Levenshtein-Pond,10,2,0.0011109369989162235,3.1273066309916607E-4,7.282259050332774E-4,7.232532271908269E-4,0.002875146794239494
Dominance_Levenshtein-Pond,10,5,0.0020492729686311774,8.319747560367505E-4,0.0011906015439033027,0.0011981656230255072,0.005270014891596738
