recommender,similarity,neighbor_size,rec_size,Temporal-3-1-2,Temporal-3-2-3,accum
Dominance,LCS-Puro,5,2,7.570621468926553E-5,7.62142494425959E-4,8.378487091152245E-4
Dominance,LCS-Puro,5,5,7.570621468926553E-5,0.003323921043330205,0.0033996272580194705
Dominance,LCS-Puro,5,7,4.145534550195567E-4,0.008822859005465701,0.009237412460485258
Dominance,LCS-Puro,5,10,0.0029569263363754894,0.009360532180934153,0.012317458517309643
Dominance,LCS-Puro,5,0,1.6154581368675925E-4,0.0027194497681307266,0.002880995581817486
Dominance,LCS-Puro,60,2,0.00125,1.1216546649617517E-5,0.0012612165466496176
Dominance,LCS-Puro,60,5,0.0019795454545454543,1.1216546649617517E-5,0.001990762001195072
Dominance,LCS-Puro,60,7,0.0019795454545454543,6.176915769421085E-5,0.002041314612239665
Dominance,LCS-Puro,60,10,0.0022068181818181818,2.4945356853975093E-4,0.002456271750357933
Dominance,LCS-Puro,60,0,0.0012833333333333334,5.743714233957301E-4,0.0018577047567290635
Dominance,LCS-Puro,8,2,7.570621468926553E-5,1.2236232708673653E-5,8.794244739793919E-5
Dominance,LCS-Puro,8,5,7.570621468926553E-5,1.0110522208918667E-4,1.768114367784522E-4
Dominance,LCS-Puro,8,7,2.4699823795938913E-4,1.8549976043785032E-4,4.3249799839723945E-4
Dominance,LCS-Puro,8,10,2.4699823795938913E-4,4.71753747479239E-4,7.187519854386282E-4
Dominance,LCS-Puro,8,0,7.121212121212121E-5,2.4849805647367246E-4,3.1971017768579366E-4
Dominance,LCS-R,10,2,1.7395182872435324E-4,3.132402738701951E-4,4.871921025945483E-4
Dominance,LCS-R,10,5,1.992043539768785E-4,8.41005960553061E-4,0.0010402103145299394
Dominance,LCS-R,10,7,2.415772353328107E-4,8.548382236150399E-4,0.0010964154589478505
Dominance,LCS-R,10,10,0.0010996630439136688,9.751743668975426E-4,0.0020748374108112114
Dominance,LCS-R,10,0,2.0717225603024175E-4,1.6755600731185438E-4,3.7472826334209613E-4
Dominance,LCS-R,15,2,4.2372881355932206E-5,1.2236232708673653E-5,5.4609114064605856E-5
Dominance,LCS-R,15,5,2.948981338811847E-4,1.6078980633796864E-4,4.556879402191534E-4
Dominance,LCS-R,15,7,3.9906480054785134E-4,1.8138018125905223E-4,5.804449818069036E-4
Dominance,LCS-R,15,10,4.414376819037836E-4,4.809351019969301E-4,9.223727839007137E-4
Dominance,LCS-R,15,0,2.601759116589625E-4,5.127254476792306E-4,7.729013593381931E-4
Dominance,LCS-R,20,2,0.001292372881355932,1.2236232708673653E-5,0.0013046091140646056
Dominance,LCS-R,20,5,0.0014686939401383026,1.9471080108248318E-4,0.0016634047412207858
Dominance,LCS-R,20,7,0.0024061939401383023,1.9471080108248318E-4,0.0026009047412207855
Dominance,LCS-R,20,10,0.0025080906310180444,2.595017582769071E-4,0.0027675923892949515
Dominance,LCS-R,20,0,0.0015155271247948594,2.805343340043593E-4,0.0017960614587992187
Dominance,LCS-R,25,2,0.001292372881355932,2.4472465417347307E-5,0.0013168453467732792
Dominance,LCS-R,25,5,0.0024061939401383023,3.138859694833677E-5,0.0024375825370866393
Dominance,LCS-R,25,7,0.003239527273471636,3.138859694833677E-5,0.0032709158704199728
Dominance,LCS-R,25,10,0.003239527273471636,3.1473386060856107E-4,0.003554261134080197
Dominance,LCS-R,25,0,0.0022393425783256288,6.057506105497268E-4,0.0028450931888753554
Dominance,LCS-R,30,2,0.0017090395480225987,0.0,0.0017090395480225987
Dominance,LCS-R,30,5,0.004285659004720997,8.633789197402956E-6,0.0042942927939184
Dominance,LCS-R,30,7,0.0053124447190067104,8.633789197402956E-6,0.005321078508204113
Dominance,LCS-R,30,10,0.005348676603064682,0.005822679760723689,0.011171356363788371
Dominance,LCS-R,30,0,0.001777098997493734,5.611962978311922E-4,0.002338295295324926
Dominance,LCS-R,40,2,0.001607142857142857,0.0,0.001607142857142857
