recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,LCS-Ponderado,8,7,0.004806395306891461,0.01071088336407289,0.0031725146198830407,8.198530163037068E-4,0.0013712303982217407,0.0031901143124295293,0.02407099101780237
Dominance,LCS-Ponderado,8,10,0.009645809489830823,0.011366350899702234,0.0031725146198830407,0.0037499122204581728,0.0025911898468158278,0.0031901143124295293,0.03371589138911963
Dominance,LCS-Ponderado,8,0,0.005089795361695489,0.009134708126902575,1.4619883040935673E-4,5.044444790745002E-4,0.0019609781891555137,0.004769893143393194,0.02160601813063063
Dominance,LCS-Puro,10,2,0.0022696128811236726,3.853374172512597E-4,3.9473684210526315E-4,2.8547367219058224E-5,0.0,0.0,0.0030782345076992537
Dominance,LCS-Puro,10,5,0.006839725475194458,5.829463491749827E-4,0.0030263157894736843,0.0017859331371440131,0.01748251748251748,0.0021327014218009478,0.031850139655305566
Dominance,LCS-Puro,10,7,0.006903959802018713,0.0035787120704032847,0.0030263157894736843,0.002365444691690895,0.02026354014134552,0.0023843476072641866,0.038522320102196285
Dominance,LCS-Puro,10,10,0.007553440217686179,0.008408838963567426,0.0030263157894736843,0.003129353764949111,0.025936127712832754,0.0025818199611346445,0.0506358964096438
Dominance,LCS-Puro,10,0,0.0022571804307705908,0.005390112966439416,0.003173422687152664,0.002478967500093301,0.019272307587313558,0.0026902704209645946,0.03526226159273413
Dominance,LCS-Puro,15,2,0.00196985268927715,3.853374172512597E-4,0.0,2.2038567493112948E-4,0.0,0.0,0.002575575781459539
Dominance,LCS-Puro,15,5,0.005675978697561431,0.0019535559466798257,0.0026315789473684206,8.492940186867129E-4,0.001580150618612157,0.0019747235387045812,0.014665281767613128
Dominance,LCS-Puro,15,7,0.006059671743124981,0.009823661008761964,0.0026315789473684206,0.0016955960930037214,0.005219513972649424,0.0019747235387045812,0.02740474530361309
Dominance,LCS-Puro,15,10,0.006458743321441842,0.015069287661799624,0.01106203007518797,0.002270894982009629,0.005219513972649424,0.0019747235387045812,0.04205519355179307
Dominance,LCS-Puro,15,0,0.00196985268927715,0.004081666449892273,0.0,0.0012277047161090276,5.99449166710663E-4,1.9747235387045813E-4,0.00807614537585957
