recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
Dominance,LCS-Ponderado,15,0,5.691433008243353E-4,1.757863434927456E-4,0.0058387164737063214,0.006583646118023402
Dominance,LCS-Ponderado,20,2,1.0775862068965517E-4,1.3971358714634998E-4,4.74608448030375E-5,2.9493305263904264E-4
Dominance,LCS-Ponderado,20,5,0.004118175287356322,4.273592077417764E-4,2.595658310610714E-4,0.00480510032615917
Dominance,LCS-Ponderado,20,7,0.005420258620689655,0.0061428467593362766,0.002364558771633527,0.013927664151659459
Dominance,LCS-Ponderado,20,10,0.005420258620689655,0.007200623984260422,0.002757023449812491,0.015377906054762566
Dominance,LCS-Ponderado,20,0,3.6817528735632183E-4,0.0011869009794530294,0.002334082787602502,0.003889159054411853
Dominance,LCS-Ponderado,25,2,1.0775862068965517E-4,1.6953051123246127E-4,4.74608448030375E-5,3.24749976725154E-4
Dominance,LCS-Ponderado,25,5,0.0038577586206896552,3.909737173305316E-4,5.51392308153025E-4,0.004800124646173212
Dominance,LCS-Ponderado,25,7,0.004521072796934865,4.014897937824074E-4,0.0027489594020049207,0.007671521992722193
Dominance,LCS-Ponderado,25,10,0.005438192362152257,0.0015411766087173168,0.0028082854580087175,0.00978765442887829
Dominance,LCS-Ponderado,25,0,8.518062397372742E-4,8.455696597017708E-4,2.2114108801415304E-4,0.001918516987453198
Dominance,LCS-Ponderado,30,2,1.0775862068965517E-4,1.6953051123246127E-4,0.0,2.7728913192211647E-4
Dominance,LCS-Ponderado,30,5,0.0043785919540229885,3.909737173305316E-4,7.905242880505936E-5,0.00484861810015858
Dominance,LCS-Ponderado,30,7,0.004549183741462601,4.014897937824074E-4,0.01237141123279177,0.01732208476803678
Dominance,LCS-Ponderado,30,10,0.005330433741462601,9.942141028881346E-4,0.01246232887279759,0.018786976717148324
Dominance,LCS-Ponderado,30,0,3.030711206896552E-4,8.250008727079513E-4,4.161320999897121E-4,0.0015442040933873185
Dominance,LCS-Ponderado,40,2,1.0775862068965517E-4,0.0,4.74608448030375E-5,1.5521946549269268E-4
Dominance,LCS-Ponderado,40,5,7.674808429118774E-4,2.5126013018418163E-4,0.0021198687553356716,0.0031386097284317304
Dominance,LCS-Ponderado,40,7,0.0015381182514803205,2.6177620663605746E-4,0.002757623857376488,0.004557518315492866
Dominance,LCS-Ponderado,40,10,0.002562423807035876,6.679203553173074E-4,0.002757623857376488,0.005987968019729671
Dominance,LCS-Ponderado,40,0,7.327586206896553E-4,1.0516076451875804E-5,0.0034406847345186528,0.004183959431660184
Dominance,LCS-Ponderado,50,2,1.0775862068965517E-4,0.0,4.74608448030375E-5,1.5521946549269268E-4
Dominance,LCS-Ponderado,50,5,7.327586206896553E-4,2.5126013018418163E-4,0.0021198687553356716,0.003103887506209509
Dominance,LCS-Ponderado,50,7,0.0021283960292580984,3.081203109995566E-4,0.002757623857376488,0.005194140197634143
Dominance,LCS-Ponderado,50,10,0.00413732460068667,0.0010649022413756189,0.004458304129485332,0.00966053097154762
Dominance,LCS-Ponderado,50,0,7.70637408568443E-4,4.113245961784308E-4,0.0025192616714295123,0.003701223676176386
Dominance,LCS-Ponderado,5,2,0.003125,1.3971358714634998E-4,1.0081242957955287E-4,0.003365526016725903
Dominance,LCS-Ponderado,5,5,0.007330729166666666,2.5084939510367383E-4,0.0024629614852484335,0.010044540047018774
Dominance,LCS-Ponderado,5,7,0.0074727746212121205,2.5084939510367383E-4,0.0024629614852484335,0.010186585501564227
Dominance,LCS-Ponderado,5,10,0.00865859111952862,5.683119397852115E-4,0.003979997275469842,0.013206900334783674
Dominance,LCS-Ponderado,5,0,0.0032407407407407406,4.838229777105082E-4,0.0016479405283905608,0.005372504246841809
Dominance,LCS-Ponderado,60,2,1.0775862068965517E-4,0.0,0.0,1.0775862068965517E-4
Dominance,LCS-Ponderado,60,5,7.611677115987462E-4,1.916262820119591E-4,0.0022196399896502305,0.003172433983260936
Dominance,LCS-Ponderado,60,7,0.0014939263322884012,2.6177620663605746E-4,0.00240649034261354,0.004162192881537998
Dominance,LCS-Ponderado,60,10,0.0024172217868338557,0.0010185581370121199,0.0031209678629449808,0.006556747786790956
Dominance,LCS-Ponderado,60,0,2.1551724137931034E-4,2.6523881717508975E-4,0.003082441553132023,0.003563197611686423
Dominance,LCS-Ponderado,8,2,0.0,1.3971358714634998E-4,0.006649276251854125,0.0067889898390004755
Dominance,LCS-Ponderado,8,5,0.004201388888888889,1.3971358714634998E-4,0.009955802744550716,0.014296905220585954
Dominance,LCS-Ponderado,8,7,0.004309147509578544,1.3971358714634998E-4,0.010008673633839074,0.014457534730563968
Dominance,LCS-Ponderado,8,10,0.007544793442592898,5.410795693725264E-4,0.01003350108306694,0.018119374095032365
Dominance,LCS-Ponderado,8,0,0.006284722222222222,3.4116108489224995E-4,0.0020562629979892126,0.008682146305103684
Dominance,LCS-Puro,10,2,0.0,1.3971358714634998E-4,0.0,1.3971358714634998E-4
Dominance,LCS-Puro,10,5,3.472222222222222E-4,0.0011259271434735263,6.913234138058495E-4,0.002164472779501598
Dominance,LCS-Puro,10,7,0.0012436868686868685,0.00123706295143085,0.0027521870519919686,0.005232936872109687
Dominance,LCS-Puro,10,10,0.0012827493686868687,0.00123706295143085,0.0027837786359939908,0.005303590956111709
Dominance,LCS-Puro,10,0,7.179186989760619E-4,3.7039107943753416E-4,9.95131206056314E-4,0.00208344098446991
Dominance,LCS-Puro,15,2,0.0010844748858447489,1.5022966359822578E-4,0.0,0.0012347045494429747
Dominance,LCS-Puro,15,5,0.0015482327086378978,0.0012846242972018342,0.0,0.0028328570058397317
Dominance,LCS-Puro,15,7,0.0015829549308601198,0.006285735655281408,0.002213461142032571,0.010082151728174098
Dominance,LCS-Puro,15,10,0.00189545493086012,0.008730723430342532,0.0022727871980363678,0.012898965559239018
Dominance,LCS-Puro,15,0,1.881570563873845E-4,0.001283285686629799,9.330327566901577E-4,0.002404475499707341
Dominance,LCS-Puro,20,2,4.280821917808219E-5,2.8239116495288116E-4,8.95094880057286E-5,4.147088721366919E-4
Dominance,LCS-Puro,20,5,4.96107660964366E-4,9.80959100684631E-4,4.4137437189031696E-4,0.0019184411335393138
Dominance,LCS-Puro,20,7,6.794312817879869E-4,0.001092094908641955,0.0026050408212710515,0.004376567011700993
Dominance,LCS-Puro,20,10,0.002593493781787987,0.001092094908641955,0.0026643668772748487,0.00634995556770479
Dominance,LCS-Puro,20,0,1.644736842105263E-4,2.460997087795E-4,0.0019570422623827544,0.0023676156553727808
Dominance,LCS-Puro,25,2,4.280821917808219E-5,3.016920125871167E-4,0.0,3.4450023176519885E-4
Dominance,LCS-Puro,25,5,4.985373858447488E-4,4.426447446305518E-4,6.377551020408163E-4,0.001578937232516117
Dominance,LCS-Puro,25,7,6.187296935370565E-4,4.426447446305518E-4,0.003086734693877551,0.004148109132045159
Dominance,LCS-Puro,25,10,0.0033097019157592783,5.748062459852071E-4,0.003302166027280426,0.007186674189024911
Dominance,LCS-Puro,25,0,0.0021812296935370566,3.3776476893351224E-4,0.0029594773336749616,0.00547847179614553
Dominance,LCS-Puro,30,2,0.0,8.450226292673666E-4,0.0,8.450226292673666E-4
Dominance,LCS-Puro,30,5,0.0015625,0.0010559497589135612,0.0,0.0026184497589135615
