recommender,similarity,neighbor_size,rec_size,Temporal-8-1-2,Temporal-8-2-3,Temporal-8-3-4,Temporal-8-4-5,Temporal-8-5-6,Temporal-8-6-7,Temporal-8-7-8,accum
Dominance,LCS-Ponderado,50,5,0.0025837602461008242,8.072407045009785E-4,0.0019680978668521996,2.2307337377630373E-4,7.96765908186521E-4,0.002786419556605892,7.470491558344539E-5,0.009240062571606165
Dominance,LCS-Ponderado,50,7,0.0031402831965779434,0.0034083496412263535,0.005122671999344313,2.2307337377630373E-4,9.957312882103969E-4,0.0030613062445360583,7.470491558344539E-5,0.016026120659254812
Dominance,LCS-Ponderado,50,10,0.004220686816820923,0.004264514024787998,0.005308235183608554,0.001635502752307377,9.957312882103969E-4,0.003115686580606535,1.2426875380707744E-4,0.019664625400148857
Dominance,LCS-Ponderado,50,0,0.0035111929629045796,4.348771472059143E-4,6.351356598873943E-4,1.7352339248439565E-4,7.999086404070839E-4,3.864139358891983E-4,5.154639175257732E-5,0.005992598130531142
Dominance,LCS-Ponderado,5,2,0.005423640135545376,0.003424657534246575,0.0,1.1844897536659461E-4,2.509473261562398E-5,6.722699516631248E-5,4.18396036952738E-4,0.00947746440989322
Dominance,LCS-Ponderado,5,5,0.005765361838188579,0.007990867579908675,0.0,5.889210280432529E-4,2.3565188893299977E-4,8.89788687293222E-4,4.18396036952738E-4,0.015888987059319466
Dominance,LCS-Ponderado,5,7,0.010088456263672082,0.008181126331811263,3.943217665615142E-4,5.889210280432529E-4,2.3565188893299977E-4,8.89788687293222E-4,4.18396036952738E-4,0.02079666200326707
Dominance,LCS-Ponderado,5,10,0.015518768870934516,0.009832300500108719,3.943217665615142E-4,0.0015305406137306353,0.003994762157948109,0.0014851386956867088,4.18396036952738E-4,0.033174228641922945
Dominance,LCS-Ponderado,5,0,0.012887586223512744,0.0045662100456621,0.0,9.273037786405792E-4,4.882573824078002E-4,0.0015171557662429285,2.961516296343728E-4,0.020682664826100525
Dominance,LCS-Ponderado,60,2,0.004010632107076013,1.223091976516634E-4,0.0,8.560178051703476E-5,5.245450927902182E-4,0.0,0.0,0.00474308817803493
Dominance,LCS-Ponderado,60,5,0.0041419001564327994,8.887801696020875E-4,0.0,2.3591364085385894E-4,8.727345078320009E-4,8.057747188181971E-4,7.470491558344539E-5,0.007019808109122389
Dominance,LCS-Ponderado,60,7,0.00482449401308809,0.0017877527723418136,2.426595486532395E-4,2.3591364085385894E-4,0.0013038261645503986,0.0030613062445360583,1.2426875380707744E-4,0.011580221137830535
Dominance,LCS-Ponderado,60,10,0.005558690947309403,0.002643917155903457,0.004634321576240299,2.3591364085385894E-4,0.0017794481682265205,0.0030967282983067356,1.2426875380707744E-4,0.01807328854064735
Dominance,LCS-Ponderado,60,0,0.0041388347147732815,1.223091976516634E-4,0.0,8.560178051703476E-5,8.365589841912962E-4,7.946484690670738E-4,3.7314343038874E-4,0.0063510965765890895
Dominance,LCS-Ponderado,8,2,7.91753251098764E-4,0.0,0.0031545741324921135,1.1844897536659461E-4,1.3988245186016772E-4,0.0029315029315029315,0.0,0.007136161742320572
Dominance,LCS-Ponderado,8,5,0.0011190962405577946,0.004623287671232877,0.0031545741324921135,0.0019324514124996397,8.554831830511059E-4,0.004197166110209588,4.6860356138706655E-4,0.016350662311430186
Dominance,LCS-Ponderado,8,7,0.0012194776900659255,0.00474559686888454,0.004286985359540565,0.0019324514124996397,8.554831830511059E-4,0.004197166110209588,5.43308476970512E-4,0.017780469101221878
Dominance,LCS-Ponderado,8,10,0.00497374390167002,0.008341916434922924,0.004286985359540565,0.002403261205343331,0.0014125862471179582,0.0042200122869019184,6.180133925539574E-4,0.026256518828050676
Dominance,LCS-Ponderado,8,0,8.95176562713202E-4,0.0047721858248957714,0.0031545741324921135,7.719090789646564E-4,2.664967846026342E-4,0.0030099722718529595,4.6860356138706655E-4,0.013338918216908404
Dominance,LCS-Puro,10,2,2.007628990162618E-4,0.0,0.0031545741324921135,1.1844897536659461E-4,1.1478771924454375E-4,2.7706277706277704E-4,0.0,0.0038656365031822905
Dominance,LCS-Puro,10,5,4.8704815139635884E-4,3.80517503805175E-4,0.0031545741324921135,0.0010600685610539769,3.253448755619195E-4,2.7706277706277704E-4,0.0010309278350515464,0.006715543836423867
