recommender,similarity,neighbor_size,rec_size,Temporal-4-1-2,Temporal-4-2-3,Temporal-4-3-4,accum
LCS-B,LCS-R,20,5,0.0013770873354402489,1.7790764704713063E-4,3.683844433258953E-5,0.001591833426819969
LCS-B,LCS-R,20,7,0.0029679964263493396,0.001400401534577693,3.683844433258953E-5,0.004405236405259623
LCS-B,LCS-R,20,10,0.004612733268454602,0.0015578439291839016,3.683844433258953E-5,0.0062074156419710935
LCS-B,LCS-R,20,0,3.937556804098158E-4,1.3835977331741247E-4,5.041823978701055E-5,5.825336935142389E-4
LCS-B,LCS-R,25,2,1.644736842105263E-4,0.0,3.0642887785744925E-5,1.9511657199627124E-4
LCS-B,LCS-R,25,5,8.562540021069157E-4,0.001400401534577693,3.0642887785744925E-5,0.002287298424470354
LCS-B,LCS-R,25,7,0.0029679964263493396,0.0016041505158327868,3.683844433258953E-5,0.004608985386514716
LCS-B,LCS-R,25,10,0.004612733268454602,0.0016041505158327868,3.683844433258953E-5,0.006253722228619979
LCS-B,LCS-R,25,0,4.4305582810047093E-4,0.001400401534577693,8.928703509984297E-5,0.0019327443977780068
LCS-B,LCS-R,30,2,0.0,0.0,3.0642887785744925E-5,3.0642887785744925E-5
LCS-B,LCS-R,30,5,4.326923076923077E-4,0.0030076139954097986,3.683844433258953E-5,0.0034771447474346955
LCS-B,LCS-R,30,7,0.002544434731934732,0.004433856864195455,3.683844433258953E-5,0.007015130040462776
LCS-B,LCS-R,30,10,0.004970421574039994,0.004433856864195455,4.3034000879434134E-5,0.009447312439114884
LCS-B,LCS-R,30,0,0.001597222222222222,0.004255949217148324,2.8554949651295164E-4,0.006138720935883498
LCS-B,LCS-R,40,2,0.0,7.640586797066015E-5,1.666973095544524E-4,2.4310317752511255E-4
LCS-B,LCS-R,40,5,4.326923076923077E-4,0.0030336767959017346,1.72892866101297E-4,0.003639261969695339
LCS-B,LCS-R,40,7,0.003673433048433048,0.003084019863380459,1.72892866101297E-4,0.006930345777914804
LCS-B,LCS-R,40,10,0.004222675472675472,0.004510262732166115,1.887131477023095E-4,0.008921651352543896
LCS-B,LCS-R,40,0,2.84665991902834E-4,0.002714209752121971,2.0456169168112963E-4,0.003203437435705935
LCS-B,LCS-R,50,2,0.0,7.640586797066015E-5,1.666973095544524E-4,2.4310317752511255E-4
LCS-B,LCS-R,50,5,5.194978632478633E-4,2.3940505297473513E-4,1.666973095544524E-4,9.256002257770509E-4
LCS-B,LCS-R,50,7,0.0020819978632478633,0.003069111401337403,1.72892866101297E-4,0.005324002130686563
LCS-B,LCS-R,50,10,0.004425747863247863,0.003084019863380459,1.887131477023095E-4,0.007698480874330632
LCS-B,LCS-R,50,0,0.0,1.332713875932211E-4,1.666973095544524E-4,2.9996869714767353E-4
LCS-B,LCS-R,5,2,7.137161084529505E-4,0.0,4.095004095004095E-5,7.546661494029915E-4
LCS-B,LCS-R,5,5,8.495856736703419E-4,0.0013352018605760632,0.0013165334870761226,0.003501321021322528
LCS-B,LCS-R,5,7,0.0019550278505410896,0.0013352018605760632,0.0013637746057458128,0.004654004316862965
LCS-B,LCS-R,5,10,0.0056453564800859665,0.001475494311083792,0.001710933958405955,0.008831784749575713
LCS-B,LCS-R,5,0,8.55703776899429E-4,0.0013538963785612156,4.124825564508751E-4,0.0026220827119115197
LCS-B,LCS-R,60,2,0.0,7.640586797066015E-5,1.666973095544524E-4,2.4310317752511255E-4
LCS-B,LCS-R,60,5,2.0699786324786324E-4,7.640586797066015E-5,1.666973095544524E-4,4.5010104077297577E-4
LCS-B,LCS-R,60,7,0.0020819978632478633,0.0030336767959017346,1.72892866101297E-4,0.005288567525250895
LCS-B,LCS-R,60,10,0.0020819978632478633,0.003084019863380459,1.887131477023095E-4,0.005354730874330632
LCS-B,LCS-R,60,0,0.0015625,0.0,2.558220878935646E-4,0.0018183220878935646
LCS-B,LCS-R,8,2,5.492424242424242E-4,0.0,3.0642887785744925E-5,5.798853120281692E-4
LCS-B,LCS-R,8,5,0.001162085673670342,0.00129297025355228,5.6770322551053446E-5,0.0025118262497736753
LCS-B,LCS-R,8,7,0.001244322515775605,0.001428972698540055,2.3589224560882014E-4,0.00290918745992448
LCS-B,LCS-R,8,10,0.0033276558491089382,0.001428972698540055,2.8313336427851027E-4,0.005039761911927503
LCS-B,LCS-R,8,0,7.977818573316418E-4,2.561544841943196E-4,3.439158848937515E-4,0.0013978522264197128
LCS-B,Levenshtein-Pond,10,2,9.847861842105263E-4,0.0,0.0,9.847861842105263E-4
LCS-B,Levenshtein-Pond,10,5,0.002829168101737262,0.0013854930725346374,1.9208386535874146E-4,0.00440674503963064
LCS-B,Levenshtein-Pond,10,7,0.0030191635645321806,0.001448185066766974,2.2892230969133098E-4,0.004696270940990486
LCS-B,Levenshtein-Pond,10,10,0.0066997191200877364,0.001545984577769419,2.5956519747707594E-4,0.008505268895334232
LCS-B,Levenshtein-Pond,10,0,0.003606791731741093,0.0,1.6523957780672466E-4,0.0037720313095478174
LCS-B,Levenshtein-Pond,15,2,3.90625E-5,0.0,1.3605442176870748E-4,1.751169217687075E-4
LCS-B,Levenshtein-Pond,15,5,0.002608560694014448,1.6299918500407498E-4,3.061224489795918E-4,0.0030776823279981148
LCS-B,Levenshtein-Pond,15,7,0.002608560694014448,1.6299918500407498E-4,3.061224489795918E-4,0.0030776823279981148
