recommender,similarity,neighbor_size,rec_size,Temporal-6-1-2,Temporal-6-2-3,Temporal-6-3-4,Temporal-6-4-5,Temporal-6-5-6,accum
Dominance,JaroSimilarity,8,2,1.4697236919459142E-4,0.0012961061000549322,0.0014964639964639966,5.396204548746922E-4,0.0,0.0034791629205882125
Dominance,JaroSimilarity,8,5,1.4697236919459142E-4,0.002679151136676406,0.001506225998845925,8.59944590360124E-4,0.0,0.005192294095077047
Dominance,JaroSimilarity,8,7,2.838087129274869E-4,0.003781990949193638,0.001506225998845925,0.0010098330040794288,0.0,0.006581858665046478
Dominance,JaroSimilarity,8,10,8.025964749458746E-4,0.006912664811235688,0.002106648003230031,0.0010364884340504593,3.21853878339234E-4,0.011180251601801285
Dominance,JaroSimilarity,8,0,2.036617115982195E-4,0.003501338143996653,0.0014162972496305827,6.307018509984139E-4,0.0,0.0057519989562238695
Dominance,LCS-Ponderado,10,2,0.001275872204990979,8.960573476702509E-4,9.763164525069287E-5,1.3200274565710966E-5,0.0,0.0022827614724776337
Dominance,LCS-Ponderado,10,5,0.0014648366796697393,0.0013440860215053765,0.0011350836630948675,3.806288694614372E-4,0.0010593928375686767,0.005384028071300097
Dominance,LCS-Ponderado,10,7,0.0017085957310168666,0.0013440860215053765,0.0011350836630948675,5.902550085700993E-4,0.0011639953480289279,0.0059420157722161375
Dominance,LCS-Ponderado,10,10,0.001855568100211458,0.0019708345973640743,0.0011350836630948675,6.646545807725592E-4,0.0011639953480289279,0.006790136289471887
Dominance,LCS-Ponderado,10,0,0.001372462565273023,0.001232078853046595,2.6149088919056717E-4,3.7711848883342417E-4,6.153088850603002E-5,0.0033046816848496395
Dominance,LCS-Ponderado,15,2,0.001275872204990979,0.0,7.558578987150416E-5,1.3200274565710966E-5,0.0,0.001364658269428194
Dominance,LCS-Ponderado,15,5,0.003337808090456276,8.960573476702509E-4,0.0011130378077156787,3.2050266645546226E-5,0.0,0.0053789535124877524
Dominance,LCS-Ponderado,15,7,0.003415616991794589,9.813641566313617E-4,0.0011845378792157504,2.2392752150892286E-4,0.0,0.005805446549150624
Dominance,LCS-Ponderado,15,10,0.003946501166152335,0.0012257434332687029,0.0012152291680769737,3.15583152631988E-4,0.0,0.006703056920129999
Dominance,LCS-Ponderado,15,0,0.0012845176384730136,9.32881622232042E-4,0.0,6.490747181454417E-5,1.8208585154191848E-4,0.0024643925840615185
Dominance,LCS-Ponderado,20,2,1.3683634373289546E-4,1.4148273910582907E-4,7.558578987150416E-5,1.3200274565710966E-5,0.0,3.671051472759397E-4
Dominance,LCS-Ponderado,20,5,0.002267935697054471,1.7639406433973497E-4,1.4708586137157566E-4,7.761250466267763E-5,4.824684617940833E-4,0.003151496589222542
Dominance,LCS-Ponderado,20,7,0.003337808090456276,2.6170087330084583E-4,3.7420373554827337E-4,1.21378871978547E-4,4.824684617940833E-4,0.004577560033078026
Dominance,LCS-Ponderado,20,10,0.003761002059401879,5.06080149938187E-4,0.0013582112555035055,1.9310928466284222E-4,4.824684617940833E-4,0.0063008712113004975
Dominance,LCS-Ponderado,20,0,0.003736609586363281,4.248210308592681E-4,4.017668583494914E-4,1.0698710548374088E-4,4.908017789775771E-4,0.005160986360033358
