recommender,similarity,neighbor_size,rec_size,Temporal-3-1-2,Temporal-3-2-3,accum
Dominance,LCS-Ponderado,30,10,0.004469592576649618,0.00547471313291188,0.009944305709561499
Dominance,LCS-Ponderado,30,0,0.004444340051397093,2.4365438631911902E-4,0.004687994437716212
Dominance,LCS-Ponderado,40,2,0.001607142857142857,5.2493438320209976E-5,0.001659636295463067
Dominance,LCS-Ponderado,40,5,0.004191888619854721,5.2493438320209976E-5,0.004244382058174931
Dominance,LCS-Ponderado,40,7,0.004216641095102246,7.70642306075377E-5,0.004293705325709783
Dominance,LCS-Ponderado,40,10,0.004320807761768913,5.805368804679109E-4,0.004901344642236824
Dominance,LCS-Ponderado,40,0,0.0017586580086580083,1.5882896060917287E-4,0.0019174869692671812
Dominance,LCS-Ponderado,50,2,0.0016450216450216448,0.00281214848143982,0.0044571701264614644
Dominance,LCS-Ponderado,50,5,0.001687394526377577,0.002818266597794157,0.004505661124171734
Dominance,LCS-Ponderado,50,7,0.005020727859710911,0.002818266597794157,0.007838994457505067
Dominance,LCS-Ponderado,50,10,0.005520727859710911,0.004149760744967366,0.009670488604678278
Dominance,LCS-Ponderado,50,0,0.002187394526377577,2.751080151550838E-4,0.002462502541532661
Dominance,LCS-Ponderado,5,2,0.0022507062146892654,0.003005743163223478,0.0052564493779127435
Dominance,LCS-Ponderado,5,5,0.0022507062146892654,0.006181531576669228,0.008432237791358493
Dominance,LCS-Ponderado,5,7,0.004750706214689265,0.009063155512726578,0.013813861727415843
Dominance,LCS-Ponderado,5,10,0.006521230172022361,0.009188139889679458,0.015709370061701818
Dominance,LCS-Ponderado,5,0,0.003917372881355932,0.008964763310535306,0.012882136191891238
Dominance,LCS-Ponderado,60,2,0.0014772727272727272,0.0,0.0014772727272727272
Dominance,LCS-Ponderado,60,5,0.0016156102050883052,0.0,0.0016156102050883052
Dominance,LCS-Ponderado,60,7,0.0016156102050883052,3.941113200266025E-4,0.0020097215251149076
Dominance,LCS-Ponderado,60,10,0.0016156102050883052,4.002294363809393E-4,0.0020158396414692446
Dominance,LCS-Ponderado,60,0,6.419457735247208E-5,5.965163445478406E-5,1.2384621180725613E-4
Dominance,LCS-Ponderado,8,2,4.2372881355932206E-5,0.0026307900323648357,0.002673162913720768
Dominance,LCS-Ponderado,8,5,0.0017145340535171041,0.0026560663378871327,0.004370600391404237
Dominance,LCS-Ponderado,8,7,0.002070725922704023,0.002717421796229424,0.004788147718933447
Dominance,LCS-Ponderado,8,10,0.002950622718005847,0.003045505785730736,0.005996128503736584
Dominance,LCS-Ponderado,8,0,0.0021635850025680534,0.003036485485279333,0.005200070487847387
