recommender,similarity,neighbor_size,rec_size,Temporal-7-1-2,Temporal-7-2-3,Temporal-7-3-4,Temporal-7-4-5,Temporal-7-5-6,Temporal-7-6-7,accum
Dominance,JaroSimilarity,20,10,0.01651308423030201,0.0034654843242985546,0.0044639376218323585,6.304232130956948E-4,0.00564585359455026,4.717395120238722E-4,0.03119052249610275
Dominance,JaroSimilarity,20,0,0.008244779272075082,0.003407880674861966,0.0028772716816195076,1.4562183362231405E-4,1.9577731841882785E-4,4.388274530454625E-5,0.014915213525902244
Dominance,JaroSimilarity,25,2,1.0900370612600829E-4,0.0015520534861509071,1.8779656651510198E-4,6.486528730242465E-5,2.6266535700497968E-5,0.0,0.0019399855817949399
Dominance,JaroSimilarity,25,5,0.014471664193089932,0.002414019020289035,4.801942273338154E-4,0.002819686223941543,2.3469337456211942E-4,0.0,0.020420257039216443
Dominance,JaroSimilarity,25,7,0.014471664193089932,0.002889124939521029,6.556328238250434E-4,0.0028509910073124417,2.579876051734232E-4,0.0,0.02112540056892187
Dominance,JaroSimilarity,25,10,0.016563044262276436,0.0029879294054828906,0.001080305616918889,0.0028509910073124417,4.967357279206478E-4,5.26592943654555E-4,0.024505598963565862
Dominance,JaroSimilarity,25,0,0.0078402976625575,7.197434847864647E-4,1.4792415822164107E-4,9.768868569642264E-6,8.109831740756729E-4,5.710043967338549E-5,0.009585817787884306
Dominance,JaroSimilarity,30,2,1.0900370612600829E-4,0.0015520534861509071,1.8779656651510198E-4,5.614973262032085E-4,5.687352375386564E-4,0.0,0.002979086322533882
Dominance,JaroSimilarity,30,5,0.014421704161115509,0.002414019020289035,4.801942273338154E-4,0.0033163182628423273,0.0012658793330737794,8.314625426124553E-5,0.02198126125891571
Dominance,JaroSimilarity,30,7,0.014421704161115509,0.002889124939521029,6.556328238250434E-4,0.0033163182628423273,0.001589507946176077,8.314625426124553E-5,0.02295543438774123
Dominance,JaroSimilarity,30,10,0.016563044262276436,0.0029879294054828906,0.001080305616918889,0.0033803838660199812,0.001589507946176077,0.002727018969224008,0.02832819006609828
Dominance,JaroSimilarity,30,0,0.0044851919896834016,0.001601213551323108,3.9228506047728017E-4,2.599657599519061E-4,0.0014907916117880861,0.0,0.008229447973223782
Dominance,JaroSimilarity,40,2,0.0,0.0020250602628826123,0.0,0.0015783394202917556,1.3135771332492644E-5,0.001579778830963665,0.005196314285470526
Dominance,JaroSimilarity,40,5,0.014421704161115509,0.002634428982819342,1.7543859649122806E-4,0.0015783394202917556,1.259858841826055E-4,0.0017135278365993296,0.02064942488149977
Dominance,JaroSimilarity,40,7,0.014421704161115509,0.002889124939521029,1.7543859649122806E-4,0.005223672241100263,1.259858841826055E-4,0.0017135278365993296,0.024549453659009964
Dominance,JaroSimilarity,40,10,0.01490527956494339,0.004420594161929883,4.2304377544652146E-4,0.005223672241100263,2.9351385216484554E-4,0.0017922586443516037,0.027058362239936504
Dominance,JaroSimilarity,40,0,0.008496060294621445,0.0019613862737071905,1.4094432699083862E-4,0.0014486069940419816,2.2357348177020313E-4,0.0016368792706370505,0.013907450641768711
Dominance,JaroSimilarity,50,2,0.0,0.0014326647564469914,0.0,1.6204829039053638E-4,1.618751618751619E-5,0.0,0.0016109005630250439
Dominance,JaroSimilarity,50,5,0.010773194397497831,0.0018216235138534143,1.7543859649122806E-4,4.222554259273712E-4,6.891963269585002E-4,0.0,0.013881708260728345
Dominance,JaroSimilarity,50,7,0.010773194397497831,0.002123292085520577,1.7543859649122806E-4,0.001191984805282419,6.891963269585002E-4,5.924170616113744E-5,0.015012347917911693
