recommender,similarity,neighbor_size,rec_size,Temporal-9-1-2,Temporal-9-2-3,Temporal-9-3-4,Temporal-9-4-5,Temporal-9-5-6,Temporal-9-6-7,Temporal-9-7-8,Temporal-9-8-9,accum
Dominance,LCS-Ponderado,15,7,3.266824547882969E-4,0.0112021213244795,0.0011204186642783135,7.466615305598356E-4,0.002637251519130886,2.303683992450954E-4,0.001433010874701651,3.26511095741865E-4,0.01802302586292544
Dominance,LCS-Ponderado,15,10,0.0019469368028615782,0.012354195057198394,0.0011204186642783135,9.34985447697312E-4,0.00713756188536304,3.589007443259485E-4,0.0015259100868850173,4.685412565337518E-4,0.025847449945143357
Dominance,LCS-Ponderado,15,0,5.459972079722536E-4,7.054495374851326E-4,0.0,5.83804143126177E-4,0.0025937914908927724,2.0174958104421676E-4,0.0012449125004709645,3.798765337226876E-4,0.006255580994714204
Dominance,LCS-Ponderado,20,2,1.4974543276430067E-4,1.2359411692003462E-4,1.58052789631737E-4,0.003295668549905838,1.078631006303026E-4,8.684324793747286E-5,0.0,0.0,0.003921767237789686
Dominance,LCS-Ponderado,20,5,0.0016471997604073072,0.008188110245952292,2.1167784325679058E-4,0.004293785310734463,0.0017061528226690612,1.8788727855654504E-4,0.0,1.7281863435709592E-4,0.016407631895933552
Dominance,LCS-Ponderado,20,7,0.002239846107770636,0.009084167593622542,2.643621064673696E-4,0.005024144091940702,0.0017061528226690612,3.367199130235948E-4,3.998098932113406E-5,1.7281863435709592E-4,0.018868192259172134
Dominance,LCS-Ponderado,20,10,0.003884766089954769,0.009324429124206654,6.313958068344033E-4,0.00506694498219922,0.0048486109232277206,4.2485594530668685E-4,3.998098932113406E-5,1.7281863435709592E-4,0.02439380249540768
Dominance,LCS-Ponderado,20,0,0.0012447589098532495,0.0054999382029415405,2.1073705284231598E-4,0.003352165725047081,0.0016080743406657637,2.0045472679911E-4,8.002368960398317E-5,1.4203016079188688E-4,0.01233818280854493
Dominance,LCS-Ponderado,25,2,5.989817310572027E-4,1.2359411692003462E-4,0.0015015015015015015,6.473634651600753E-4,0.0,8.684324793747286E-5,0.0,0.0,0.002958284062576287
Dominance,LCS-Ponderado,25,5,9.391486396203377E-4,0.00549993820294154,0.0016349683016349682,0.0021162900188323916,0.0015786186228177344,8.684324793747286E-5,2.3650726077290572E-5,3.072995380687689E-4,0.012186757297930503
